"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Views","Show View (Documentation)","Alt+Shift+Q, J","JavaScript View"
"Edit","Delete","Delete","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"File","New","Ctrl+N","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Script Source"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","Editing Script Source"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"View","Zoom In","Ctrl+=","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Edit","Context Information","Alt+Shift+?","In Windows"
"Script Source","Toggle Comment","Ctrl+/","Editing Script Source"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Show View (Script Explorer)","Alt+Shift+Q, P","JavaScript View"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Script Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Quick Fix","Alt+Enter","In Dialogs and Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Script Source","Toggle Comment","Ctrl+Shift+C","Editing Script Source"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"File","Rename","F2","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Open Declaration","F3","Editing Script Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Window","Next View","Ctrl+F7","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Views","Show View (Declaration)","Alt+Shift+Q, D","JavaScript View"
"File","Save","Ctrl+S","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"File","Close All","Ctrl+Shift+W","In Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Script Source","Toggle Comment","Ctrl+7","Editing Script Source"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"File","Print","Ctrl+P","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
